,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
1970,"C1 FINANCIAL, INC.",BNK,New York Stock Exchange,$17,"2,631,579","$44,736,843",8/14/2014,http://www.nasdaq.com/markets/ipos/company/c1-financial-inc-939202-75953
1971,"OTONOMY, INC.",OTIC,NASDAQ,$16,"6,250,000","$100,000,000",8/13/2014,http://www.nasdaq.com/markets/ipos/company/otonomy-inc-830175-75956
1972,RYERSON HOLDING CORP,RYI,New York Stock Exchange,$11,"11,000,000","$121,000,000",8/8/2014,http://www.nasdaq.com/markets/ipos/company/ryerson-holding-corp-819902-63185
1973,"GREEN BANCORP, INC.",GNBC,NASDAQ,$15,"4,687,500","$70,312,500",8/8/2014,http://www.nasdaq.com/markets/ipos/company/green-bancorp-inc-937787-75815
1974,"INDEPENDENCE CONTRACT DRILLING, INC.",ICD,New York Stock Exchange,$11,"10,000,000","$110,000,000",8/8/2014,http://www.nasdaq.com/markets/ipos/company/independence-contract-drilling-inc-877042-75781
1975,HOEGH LNG PARTNERS LP,HMLP,New York Stock Exchange,$20,"9,600,000","$192,000,000",8/7/2014,http://www.nasdaq.com/markets/ipos/company/hoegh-lng-partners-lp-938624-75911
1976,IDREAMSKY TECHNOLOGY LTD,DSKY,NASDAQ,$15,"7,700,000","$115,500,000",8/7/2014,http://www.nasdaq.com/markets/ipos/company/idreamsky-technology-ltd-938675-75915
1977,"T2 BIOSYSTEMS, INC.",TTOO,NASDAQ,$11,"5,200,000","$57,200,000",8/7/2014,http://www.nasdaq.com/markets/ipos/company/t2-biosystems-inc-829540-75896
1978,AURIS MEDICAL HOLDING AG,EARS,NASDAQ,$6,"9,400,000","$56,400,000",8/6/2014,http://www.nasdaq.com/markets/ipos/company/auris-medical-holding-ag-938258-75868
1979,"FCB FINANCIAL HOLDINGS, INC.",FCB,New York Stock Exchange,$22,"7,520,000","$165,440,000",8/1/2014,http://www.nasdaq.com/markets/ipos/company/fcb-financial-holdings-inc-816211-75789
1980,"LOXO ONCOLOGY, INC.",LOXO,NASDAQ,$13,"5,261,538","$68,399,994",8/1/2014,http://www.nasdaq.com/markets/ipos/company/loxo-oncology-inc-911020-75877
1981,MOBILEYE N.V.,MBLY,New York Stock Exchange,$25,"35,589,000","$889,725,000",8/1/2014,http://www.nasdaq.com/markets/ipos/company/mobileye-nv-937555-75772
1982,VTTI ENERGY PARTNERS LP,VTTI,New York Stock Exchange,$21,"17,500,000","$367,500,000",8/1/2014,http://www.nasdaq.com/markets/ipos/company/vtti-energy-partners-lp-937580-75777
1983,CONE MIDSTREAM PARTNERS LP,CNNX,New York Stock Exchange,$22,"17,500,000","$385,000,000",9/25/2014,http://www.nasdaq.com/markets/ipos/company/cone-midstream-partners-lp-943082-76281
1984,"GWG HOLDINGS, INC.",GWGH,NASDAQ,$12.50,"800,000","$10,000,000",9/25/2014,http://www.nasdaq.com/markets/ipos/company/gwg-holdings-inc-857515-75254
1985,TRAVELPORT WORLDWIDE LTD,TVPT,New York Stock Exchange,$16,"30,000,000","$480,000,000",9/25/2014,http://www.nasdaq.com/markets/ipos/company/travelport-worldwide-ltd-768790-75623
1986,"VITAE PHARMACEUTICALS, INC",VTAE,NASDAQ,$8,"6,875,000","$55,000,000",9/24/2014,http://www.nasdaq.com/markets/ipos/company/vitae-pharmaceuticals-inc-151909-76182
1987,MEDLEY MANAGEMENT INC.,MDLY,New York Stock Exchange,$18,"6,000,000","$108,000,000",9/24/2014,http://www.nasdaq.com/markets/ipos/company/medley-management-inc-942570-76225
1988,"SMART & FINAL STORES, INC.",SFS,New York Stock Exchange,$12,"13,450,000","$161,400,000",9/24/2014,http://www.nasdaq.com/markets/ipos/company/smart-final-stores-inc-893925-75786
1989,ISRAEL CHEMICALS LTD,ICL,New York Stock Exchange,$7,"60,158,143","$421,107,001",9/24/2014,http://www.nasdaq.com/markets/ipos/company/israel-chemicals-ltd-88538-76454
1990,CYBERARK SOFTWARE LTD.,CYBR,NASDAQ,$16,"900,000","$14,400,000",9/24/2014,http://www.nasdaq.com/markets/ipos/company/cyberark-software-ltd-937836-75819
1991,CITIZENS FINANCIAL GROUP INC/RI,CFG,New York Stock Exchange,$21.50,"140,000,000","$3,010,000,000",9/24/2014,http://www.nasdaq.com/markets/ipos/company/citizens-financial-group-incri-62981-75416
1992,GRUPO AVAL ACCIONES Y VALORES S.A.,AVAL,New York Stock Exchange,$13.50,"81,481,482","$1,100,000,007",9/23/2014,http://www.nasdaq.com/markets/ipos/company/grupo-aval-acciones-y-valores-sa-849491-76101
1993,ALIBABA GROUP HOLDING LTD,BABA,New York Stock Exchange,$68,"320,106,100","$21,767,214,800",9/19/2014,http://www.nasdaq.com/markets/ipos/company/alibaba-group-holding-ltd-934140-75355
1994,FOAMIX PHARMACEUTICALS LTD.,FOMX,NASDAQ,$6,"6,700,000","$40,200,000",9/18/2014,http://www.nasdaq.com/markets/ipos/company/foamix-pharmaceuticals-ltd-942215-76197
1995,PROQR THERAPEUTICS N.V.,PRQR,NASDAQ,$13,"7,500,000","$97,500,000",9/18/2014,http://www.nasdaq.com/markets/ipos/company/proqr-therapeutics-nv-942327-76207
1996,TOKAI PHARMACEUTICALS INC,TKAI,NASDAQ,$15,"6,480,000","$97,200,000",9/17/2014,http://www.nasdaq.com/markets/ipos/company/tokai-pharmaceuticals-inc-748564-76166
1997,"CIVITAS SOLUTIONS, INC.",CIVI,New York Stock Exchange,$17,"11,700,000","$198,900,000",9/17/2014,http://www.nasdaq.com/markets/ipos/company/civitas-solutions-inc-935704-75546
1998,"IFAN FINANCIAL, INC.",IFAN,OTCBB,$0.31,"3,000,000","$930,000",9/16/2014,http://www.nasdaq.com/markets/ipos/company/ifan-financial-inc-870818-68934
1999,REWALK ROBOTICS LTD.,RWLK,NASDAQ,$12,"3,000,000","$36,000,000",9/12/2014,http://www.nasdaq.com/markets/ipos/company/rewalk-robotics-ltd-939127-75947
2000,AFFIMED N.V.,AFMD,NASDAQ,$7,"8,000,000","$56,000,000",9/12/2014,http://www.nasdaq.com/markets/ipos/company/affimed-nv-938243-75866
2001,"BOOT BARN HOLDINGS, INC.",BOOT,New York Stock Exchange,$16,"5,000,000","$80,000,000",10/30/2014,http://www.nasdaq.com/markets/ipos/company/boot-barn-holdings-inc-937806-76585
2002,FIFTH STREET ASSET MANAGEMENT INC.,FSAM,NASDAQ,$17,"6,000,000","$102,000,000",10/30/2014,http://www.nasdaq.com/markets/ipos/company/fifth-street-asset-management-inc-943972-76404
2003,"SHELL MIDSTREAM PARTNERS, L.P.",SHLX,New York Stock Exchange,$23,"40,000,000","$920,000,000",10/29/2014,http://www.nasdaq.com/markets/ipos/company/shell-midstream-partners-lp-937404-75749
2004,"SIENTRA, INC.",SIEN,NASDAQ,$15,"5,000,000","$75,000,000",10/29/2014,http://www.nasdaq.com/markets/ipos/company/sientra-inc-883446-76508
2005,SIGNAL ADVANCE INC,SIGL,OTCBB,$2,"3,213,562","$6,427,124",10/29/2014,http://www.nasdaq.com/markets/ipos/company/signal-advance-inc-877735-73988
2006,SIGNAL ADVANCE INC,SIGL,OTCBB,$2,"4,427,562","$8,855,124",10/29/2014,http://www.nasdaq.com/markets/ipos/company/signal-advance-inc-877735-75224
2007,HYDRA INDUSTRIES ACQUISITION CORP.,HDRAU,NASDAQ,$10,"8,000,000","$80,000,000",10/24/2014,http://www.nasdaq.com/markets/ipos/company/hydra-industries-acquisition-corp-942724-76233
2008,DBV TECHNOLOGIES S.A.,DBVT,NASDAQ,$21.64,"4,277,826","$92,572,155",10/22/2014,http://www.nasdaq.com/markets/ipos/company/dbv-technologies-sa-945258-76528
2009,ANCHOR BANCORP WISCONSIN INC,ABCW,NASDAQ,$26,"371,959","$9,670,934",10/22/2014,http://www.nasdaq.com/markets/ipos/company/anchor-bancorp-wisconsin-inc-6244-74242
2010,PROTEON THERAPEUTICS INC,PRTO,NASDAQ,$10,"6,110,000","$61,100,000",10/22/2014,http://www.nasdaq.com/markets/ipos/company/proteon-therapeutics-inc-706083-76481
2011,"ZAYO GROUP HOLDINGS, INC.",ZAYO,New York Stock Exchange,$19,"21,052,631","$399,999,989",10/17/2014,http://www.nasdaq.com/markets/ipos/company/zayo-group-holdings-inc-938591-75904
2012,"ATARA BIOTHERAPEUTICS, INC.",ATRA,NASDAQ,$11,"5,000,000","$55,000,000",10/16/2014,http://www.nasdaq.com/markets/ipos/company/atara-biotherapeutics-inc-937658-75790
2013,"DOMINION MIDSTREAM PARTNERS, LP",DM,New York Stock Exchange,$21,"17,500,000","$367,500,000",10/15/2014,http://www.nasdaq.com/markets/ipos/company/dominion-midstream-partners-lp-930976-75010
2014,FORWARD PHARMA A/S,FWP,NASDAQ,$21,"10,500,000","$220,500,000",10/15/2014,http://www.nasdaq.com/markets/ipos/company/forward-pharma-as-941728-76154
2015,"GREAT WESTERN BANCORP, INC.",GWB,New York Stock Exchange,$18,"16,000,000","$288,000,000",10/15/2014,http://www.nasdaq.com/markets/ipos/company/great-western-bancorp-inc-943450-76332
2016,"DAVE & BUSTER'S ENTERTAINMENT, INC.",PLAY,NASDAQ,$16,"5,882,353","$94,117,648",10/10/2014,http://www.nasdaq.com/markets/ipos/company/dave-busters-entertainment-inc-860028-76418
2017,"DIPLOMAT PHARMACY, INC.",DPLO,New York Stock Exchange,$13,"13,333,333","$173,333,329",10/10/2014,http://www.nasdaq.com/markets/ipos/company/diplomat-pharmacy-inc-938614-75909
2018,"GREAT BASIN SCIENTIFIC, INC.",GBSN,NASDAQ,$7,"1,150,000","$8,050,000",10/9/2014,http://www.nasdaq.com/markets/ipos/company/great-basin-scientific-inc-847113-76139
2019,HUBSPOT INC,HUBS,New York Stock Exchange,$25,"5,000,000","$125,000,000",10/9/2014,http://www.nasdaq.com/markets/ipos/company/hubspot-inc-749062-76275
2020,"MOL GLOBAL, INC.",MOLG,NASDAQ,$12.50,"13,500,000","$168,750,000",10/9/2014,http://www.nasdaq.com/markets/ipos/company/mol-global-inc-939423-75973
2021,OM ASSET MANAGEMENT PLC,OMAM,New York Stock Exchange,$14,"22,000,000","$308,000,000",10/9/2014,http://www.nasdaq.com/markets/ipos/company/om-asset-management-plc-938270-75870
2022,USD PARTNERS LP,USDP,New York Stock Exchange,$17,"9,120,000","$155,040,000",10/9/2014,http://www.nasdaq.com/markets/ipos/company/usd-partners-lp-943544-76351
2023,"VERITEX HOLDINGS, INC.",VBTX,NASDAQ,$13,"2,700,000","$35,100,000",10/9/2014,http://www.nasdaq.com/markets/ipos/company/veritex-holdings-inc-837369-76339
2024,"TEXTMUNICATION HOLDINGS, INC.",TXHD,OTCBB,$0.10,"10,000,000","$1,000,000",10/8/2014,http://www.nasdaq.com/markets/ipos/company/textmunication-holdings-inc-2056-75664
2025,FAIRMOUNT SANTROL HOLDINGS INC.,FMSA,New York Stock Exchange,$16,"25,000,000","$400,000,000",10/3/2014,http://www.nasdaq.com/markets/ipos/company/fairmount-santrol-holdings-inc-296470-76273
2026,"DERMIRA, INC.",DERM,NASDAQ,$16,"7,812,500","$125,000,000",10/3/2014,http://www.nasdaq.com/markets/ipos/company/dermira-inc-889368-76307
2027,YODLEE INC,YDLE,NASDAQ,$12,"6,250,000","$75,000,000",10/3/2014,http://www.nasdaq.com/markets/ipos/company/yodlee-inc-104440-75874
2028,JP ENERGY PARTNERS LP,JPEP,New York Stock Exchange,$20,"13,750,000","$275,000,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/jp-energy-partners-lp-859035-75368
2029,ATENTO S.A.,ATTO,New York Stock Exchange,$15,"10,000,000","$150,000,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/atento-sa-933741-75299
2030,AR CAPITAL ACQUISITION,AUMAU,NASDAQ,$10,"24,000,000","$240,000,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/ar-capital-acquisition-941734-76155
2031,"AAC HOLDINGS, INC.",AAC,New York Stock Exchange,$15,"5,000,000","$75,000,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/aac-holdings-inc-933439-75963
2032,"CALITHERA BIOSCIENCES, INC.",CALA,NASDAQ,$10,"8,000,000","$80,000,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/calithera-biosciences-inc-833221-76284
2033,VWR CORP,VWR,NASDAQ,$21,"25,532,000","$536,172,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/vwr-corp-937839-75821
2034,WAYFAIR INC.,W,New York Stock Exchange,$29,"11,000,000","$319,000,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/wayfair-inc-942421-76214
2035,"SMOOFI, INC.",SMFI,OTCBB,$0.13,"2,000,000","$260,000",10/2/2014,http://www.nasdaq.com/markets/ipos/company/smoofi-inc-921049-74361
2036,"VIVINT SOLAR, INC.",VSLR,New York Stock Exchange,$16,"20,600,000","$329,600,000",10/1/2014,http://www.nasdaq.com/markets/ipos/company/vivint-solar-inc-943173-76288
2037,VASCULAR BIOGENICS LTD.,VBLT,NASDAQ,$6,"6,666,667","$40,000,002",10/1/2014,http://www.nasdaq.com/markets/ipos/company/vascular-biogenics-ltd-936606-75657
2038,DT ASIA INVESTMENTS LTD,CADTU,NASDAQ,$10,"6,000,000","$60,000,000",10/1/2014,http://www.nasdaq.com/markets/ipos/company/dt-asia-investments-ltd-938475-75894
2039,NEFF CORP,NEFF,New York Stock Exchange,$15,"10,476,190","$157,142,850",11/21/2014,http://www.nasdaq.com/markets/ipos/company/neff-corp-943748-76371
2040,PEAK RESORTS INC,SKIS,NASDAQ,$9,"10,000,000","$90,000,000",11/21/2014,http://www.nasdaq.com/markets/ipos/company/peak-resorts-inc-853143-76758
2041,"NEOTHETICS, INC.",NEOT,NASDAQ,$14,"4,650,000","$65,100,000",11/20/2014,http://www.nasdaq.com/markets/ipos/company/neothetics-inc-947513-76746
2042,"HABIT RESTAURANTS, INC.",HABT,NASDAQ,$18,"5,000,000","$90,000,000",11/20/2014,http://www.nasdaq.com/markets/ipos/company/habit-restaurants-inc-947337-76728
2043,CNOVA N.V.,CNV,NASDAQ,$7,"26,800,000","$187,600,000",11/20/2014,http://www.nasdaq.com/markets/ipos/company/cnova-nv-936385-75630
2044,SECOND SIGHT MEDICAL PRODUCTS INC,EYES,NASDAQ,$9,"3,500,000","$31,500,000",11/19/2014,http://www.nasdaq.com/markets/ipos/company/second-sight-medical-products-inc-599854-76175
2045,"PARAMOUNT GROUP, INC.",PGRE,New York Stock Exchange,$17.50,"131,000,000","$2,292,500,000",11/19/2014,http://www.nasdaq.com/markets/ipos/company/paramount-group-inc-943220-76295
2046,STORE CAPITAL CORP,STOR,New York Stock Exchange,$18.50,"27,500,000","$508,750,000",11/18/2014,http://www.nasdaq.com/markets/ipos/company/store-capital-corp-872181-76340
2047,EHI CAR SERVICES LTD,EHIC,New York Stock Exchange,$12,"10,000,000","$120,000,000",11/18/2014,http://www.nasdaq.com/markets/ipos/company/ehi-car-services-ltd-946284-76623
2048,FIBROGEN INC,FGEN,NASDAQ,$18,"8,100,000","$145,800,000",11/14/2014,http://www.nasdaq.com/markets/ipos/company/fibrogen-inc-377052-76598
2049,LANDMARK INFRASTRUCTURE PARTNERS LP,LMRK,NASDAQ,$19,"2,650,000","$50,350,000",11/14/2014,http://www.nasdaq.com/markets/ipos/company/landmark-infrastructure-partners-lp-946670-76667
2050,NEURODERM LTD.,NDRM,NASDAQ,$10,"4,500,000","$45,000,000",11/14/2014,http://www.nasdaq.com/markets/ipos/company/neuroderm-ltd-944771-76471
2051,VIRGIN AMERICA INC.,VA,NASDAQ,$23,"13,337,587","$306,764,501",11/14/2014,http://www.nasdaq.com/markets/ipos/company/virgin-america-inc-940504-76046
2052,"PRA HEALTH SCIENCES, INC.",PRAH,NASDAQ,$18,"16,976,744","$305,581,392",11/13/2014,http://www.nasdaq.com/markets/ipos/company/pra-health-sciences-inc-944073-76420
2053,"SKY SOLAR HOLDINGS, LTD.",SKYS,NASDAQ,$8,"5,525,000","$44,200,000",11/13/2014,http://www.nasdaq.com/markets/ipos/company/sky-solar-holdings-ltd-945132-76503
2054,NAVIOS MARITIME MIDSTREAM PARTNERS LP,NAP,New York Stock Exchange,$15,"8,100,000","$121,500,000",11/13/2014,http://www.nasdaq.com/markets/ipos/company/navios-maritime-midstream-partners-lp-946816-76673
2055,"CAPNIA, INC.",CAPN,NASDAQ,$6.50,"1,650,000","$10,725,000",11/13/2014,http://www.nasdaq.com/markets/ipos/company/capnia-inc-822478-75678
2056,AXALTA COATING SYSTEMS LTD.,AXTA,New York Stock Exchange,$19.50,"50,000,000","$975,000,000",11/12/2014,http://www.nasdaq.com/markets/ipos/company/axalta-coating-systems-ltd-942823-76245
2057,JOINT CORP,JYNT,NASDAQ,$6.50,"3,000,000","$19,500,000",11/11/2014,http://www.nasdaq.com/markets/ipos/company/joint-corp-945230-76517
2058,"INC RESEARCH HOLDINGS, INC.",INCR,NASDAQ,$18.50,"8,108,108","$149,999,998",11/7/2014,http://www.nasdaq.com/markets/ipos/company/inc-research-holdings-inc-946411-76645
2059,"FRESHPET, INC.",FRPT,NASDAQ,$15,"10,416,667","$156,250,005",11/7/2014,http://www.nasdaq.com/markets/ipos/company/freshpet-inc-944700-76458
2060,"TRIUMPH BANCORP, INC.",TBK,NASDAQ,$12,"6,700,000","$80,400,000",11/7/2014,http://www.nasdaq.com/markets/ipos/company/triumph-bancorp-inc-872411-76509
2061,"UPLAND SOFTWARE, INC.",UPLD,NASDAQ,$12,"3,846,154","$46,153,848",11/6/2014,http://www.nasdaq.com/markets/ipos/company/upland-software-inc-841074-76385
2062,"COHERUS BIOSCIENCES, INC.",CHRS,NASDAQ,$13.50,"6,296,300","$85,000,050",11/6/2014,http://www.nasdaq.com/markets/ipos/company/coherus-biosciences-inc-848758-76555
2063,NEVRO CORP,NVRO,New York Stock Exchange,$18,"7,000,000","$126,000,000",11/6/2014,http://www.nasdaq.com/markets/ipos/company/nevro-corp-787003-76625
2064,ANTERO MIDSTREAM PARTNERS LP,AM,New York Stock Exchange,$25,"40,000,000","$1,000,000,000",11/5/2014,http://www.nasdaq.com/markets/ipos/company/antero-midstream-partners-lp-926666-74584
2065,XENON PHARMACEUTICALS INC.,XENE,NASDAQ,$9,"4,000,000","$36,000,000",11/5/2014,http://www.nasdaq.com/markets/ipos/company/xenon-pharmaceuticals-inc-944198-76432
2066,"STATE NATIONAL COMPANIES, INC.",SNC,NASDAQ,$11.98,"30,728,500","$368,127,430",11/3/2014,http://www.nasdaq.com/markets/ipos/company/state-national-companies-inc-938262-75986
2067,"JUNO THERAPEUTICS, INC.",JUNO,NASDAQ,$24,"11,022,917","$264,550,008",12/19/2014,http://www.nasdaq.com/markets/ipos/company/juno-therapeutics-inc-923186-76993
2068,MEDOVEX CORP.,MDVXU,NASDAQ,$5.75,"1,391,305","$8,000,004",12/19/2014,http://www.nasdaq.com/markets/ipos/company/medovex-corp-920245-76410
2069,"BELLICUM PHARMACEUTICALS, INC",BLCM,NASDAQ,$19,"7,350,000","$139,650,000",12/18/2014,http://www.nasdaq.com/markets/ipos/company/bellicum-pharmaceuticals-inc-704393-77028
2070,ON DECK CAPITAL INC,ONDK,New York Stock Exchange,$20,"10,000,000","$200,000,000",12/17/2014,http://www.nasdaq.com/markets/ipos/company/on-deck-capital-inc-764661-76929
2071,RICE MIDSTREAM PARTNERS LP,RMP,New York Stock Exchange,$16.50,"25,000,000","$412,500,000",12/17/2014,http://www.nasdaq.com/markets/ipos/company/rice-midstream-partners-lp-948866-76900
2072,WORKIVA INC,WK,New York Stock Exchange,$14,"7,200,000","$100,800,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/workiva-inc-787804-76751
2073,METALDYNE PERFORMANCE GROUP INC.,MPG,New York Stock Exchange,$15,"10,000,000","$150,000,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/metaldyne-performance-group-inc-942977-76272
2074,NEW RELIC INC,NEWR,New York Stock Exchange,$23,"5,000,000","$115,000,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/new-relic-inc-790196-76935
2075,CB PHARMA ACQUISITION CORP.,CNLMU,NASDAQ,$10,"4,000,000","$40,000,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/cb-pharma-acquisition-corp-947774-76775
2076,CONNECTURE INC,CNXR,NASDAQ,$8,"6,635,000","$53,080,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/connecture-inc-389472-76757
2077,FIAT CHRYSLER AUTOMOBILES N.V.,FCAU,New York Stock Exchange,$11,"87,000,000","$957,000,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/fiat-chrysler-automobiles-nv-938631-76694
2078,"HORTONWORKS, INC.",HDP,NASDAQ,$16,"6,250,000","$100,000,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/hortonworks-inc-949081-76930
2079,AVOLON HOLDINGS LTD,AVOL,New York Stock Exchange,$20,"13,636,363","$272,727,260",12/12/2014,http://www.nasdaq.com/markets/ipos/company/avolon-holdings-ltd-936702-75673
2080,"JAMES RIVER GROUP HOLDINGS, LTD.",JRVR,NASDAQ,$21,"11,000,000","$231,000,000",12/12/2014,http://www.nasdaq.com/markets/ipos/company/james-river-group-holdings-ltd-948916-76904
2081,LENDINGCLUB CORP,LC,New York Stock Exchange,$15,"57,700,000","$865,500,000",12/11/2014,http://www.nasdaq.com/markets/ipos/company/lendingclub-corp-754560-76296
2082,MOMO INC.,MOMO,NASDAQ,$13.50,"16,000,000","$216,000,000",12/11/2014,http://www.nasdaq.com/markets/ipos/company/momo-inc-949006-76912
2083,HISTOGENICS CORP,HSGX,NASDAQ,$11,"5,909,091","$65,000,001",12/3/2014,http://www.nasdaq.com/markets/ipos/company/histogenics-corp-717962-76655
2084,AVINGER INC,AVGR,NASDAQ,$13,"5,000,000","$65,000,000",1/30/2015,http://www.nasdaq.com/markets/ipos/company/avinger-inc-842629-77352
2085,"INFRAREIT, INC.",HIFR,New York Stock Exchange,$23,"20,000,000","$460,000,000",1/30/2015,http://www.nasdaq.com/markets/ipos/company/infrareit-inc-842318-77270
2086,"SPARK THERAPEUTICS, INC.",ONCE,NASDAQ,$23,"7,000,000","$161,000,000",1/30/2015,http://www.nasdaq.com/markets/ipos/company/spark-therapeutics-inc-936549-77349
2087,SHAKE SHACK INC.,SHAK,New York Stock Exchange,$21,"5,000,000","$105,000,000",1/30/2015,http://www.nasdaq.com/markets/ipos/company/shake-shack-inc-953529-77326
2088,"TRACON PHARMACEUTICALS, INC.",TCON,NASDAQ,$10,"3,600,000","$36,000,000",1/30/2015,http://www.nasdaq.com/markets/ipos/company/tracon-pharmaceuticals-inc-738840-77337
2089,PRESBIA PLC,LENS,NASDAQ,$10,"4,166,667","$41,666,670",1/29/2015,http://www.nasdaq.com/markets/ipos/company/presbia-plc-930232-74943
2090,"FLEX PHARMA, INC.",FLKS,NASDAQ,$16,"5,400,000","$86,400,000",1/29/2015,http://www.nasdaq.com/markets/ipos/company/flex-pharma-inc-941446-77330
2091,ENTELLUS MEDICAL INC,ENTL,NASDAQ,$17,"4,603,580","$78,260,860",1/29/2015,http://www.nasdaq.com/markets/ipos/company/entellus-medical-inc-719568-77307
2092,ASCENDIS PHARMA A/S,ASND,NASDAQ,$18,"6,000,000","$108,000,000",1/28/2015,http://www.nasdaq.com/markets/ipos/company/ascendis-pharma-as-951656-77256
2093,ZOSANO PHARMA CORP,ZSAN,NASDAQ,$11,"4,500,000","$49,500,000",1/27/2015,http://www.nasdaq.com/markets/ipos/company/zosano-pharma-corp-916024-75816
2094,EURONAV NV,EURN,New York Stock Exchange,$12.25,"16,260,000","$199,185,000",1/23/2015,http://www.nasdaq.com/markets/ipos/company/euronav-nv-944033-76412
2095,BOX INC,BOX,New York Stock Exchange,$14,"12,500,000","$175,000,000",1/23/2015,http://www.nasdaq.com/markets/ipos/company/box-inc-718252-74964
2096,"COUNTY BANCORP, INC.",ICBK,NASDAQ,$15.75,"1,180,000","$18,585,000",1/16/2015,http://www.nasdaq.com/markets/ipos/company/county-bancorp-inc-810838-76939
2097,"PATRIOT NATIONAL, INC.",PN,New York Stock Exchange,$14,"8,315,700","$116,419,800",1/16/2015,http://www.nasdaq.com/markets/ipos/company/patriot-national-inc-952352-77234
